scenario;environment;levy;flood;seed;cycles;population;requested;fulfilled;unmet;trips;travelers;traveler_distance;occupancy_person_hours;fulfillment_rate;travelers_per_capita;distance_per_requested_visit;mean_distance_per_traveler;occupancy_per_requested_visit;peak_hourly_occupancy;runtime_seconds;peak_memory_kib;validation_passed;failed_checks;commit_sha
13_levy_on_flood_pois;13;True;pois;22;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181096626.7454615;2291171.0;0.9648595815070732;17.36722380140231;76.26354187180642;79.04107844655047;0.9648595815070732;6780.0;353.1870303479991;251528.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;23;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181101978.66016912;2291171.0;0.9648595815070732;17.36722380140231;76.26579567398228;79.04341433274475;0.9648595815070732;6780.0;372.02222250200066;251700.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;24;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181108301.46272492;2291171.0;0.9648595815070732;17.36722380140231;76.26845833714795;79.04617397074462;0.9648595815070732;6780.0;345.9158279969997;252012.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;25;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181133308.4112533;2291171.0;0.9648595815070732;17.36722380140231;76.27898928132097;79.05708845444242;0.9648595815070732;6780.0;378.47001523699873;251472.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;26;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181093273.97834662;2291171.0;0.9648595815070732;17.36722380140231;76.26212995210452;79.03961510439274;0.9648595815070732;6780.0;359.8842799840022;251780.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;27;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181096581.47744888;2291171.0;0.9648595815070732;17.36722380140231;76.26352280850836;79.0410586889625;0.9648595815070732;6780.0;370.0561328949989;251752.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;28;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181096744.4998504;2291171.0;0.9648595815070732;17.36722380140231;76.26359146061948;79.04112984140005;0.9648595815070732;6780.0;354.37747076699816;251864.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;29;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181135068.34530813;2291171.0;0.9648595815070732;17.36722380140231;76.27973042601757;79.05785659180748;0.9648595815070732;6780.0;406.4474110600022;252616.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;0;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211276043.58660522;2374616.0;1.0;17.99974227780936;88.97271962565956;88.97271962565956;1.0;6780.0;378.02155722799944;312084.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;1;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211144416.3234724;2374616.0;1.0;17.99974227780936;88.91728865781769;88.91728865781769;1.0;6780.0;335.22837872499804;311032.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;2;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211211185.52057502;2374616.0;1.0;17.99974227780936;88.94540655018538;88.94540655018538;1.0;6780.0;375.1211947479969;311244.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;3;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211214838.14821434;2374616.0;1.0;17.99974227780936;88.9469447473673;88.9469447473673;1.0;6780.0;378.9179727990013;310660.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;4;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211203601.1526372;2374616.0;1.0;17.99974227780936;88.94221261569753;88.94221261569753;1.0;6780.0;386.50234942399766;311020.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;5;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211277677.34415194;2374616.0;1.0;17.99974227780936;88.9734076348142;88.9734076348142;1.0;6780.0;374.06236700000227;310728.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;6;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211298015.62153876;2374616.0;1.0;17.99974227780936;88.98197250483395;88.98197250483395;1.0;6780.0;367.88431906500045;310732.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;7;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211202778.73343876;2374616.0;1.0;17.99974227780936;88.94186627793242;88.94186627793242;1.0;6780.0;364.2545278329999;310792.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;8;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211259016.98144102;2374616.0;1.0;17.99974227780936;88.9655493694311;88.9655493694311;1.0;6780.0;367.69993942400106;310592.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;9;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211191249.08997738;2374616.0;1.0;17.99974227780936;88.93701090617489;88.93701090617489;1.0;6780.0;379.06810672900247;311088.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;10;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211130228.10724294;2374616.0;1.0;17.99974227780936;88.91131370598148;88.91131370598148;1.0;6780.0;386.86811469700115;310536.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;11;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211221893.98682502;2374616.0;1.0;17.99974227780936;88.94991610720429;88.94991610720429;1.0;6780.0;366.8759859339989;311160.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;12;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211196033.66713524;2374616.0;1.0;17.99974227780936;88.93902579075322;88.93902579075322;1.0;6780.0;371.60116439000194;312260.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;13;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211267216.88013092;2374616.0;1.0;17.99974227780936;88.96900251667256;88.96900251667256;1.0;6780.0;389.7061441989972;311016.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;14;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211191413.15691012;2374616.0;1.0;17.99974227780936;88.93707999815976;88.93707999815976;1.0;6780.0;357.2494209550023;311052.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;15;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211006966.04055354;2374616.0;1.0;17.99974227780936;88.85940549569005;88.85940549569005;1.0;6780.0;373.98976723000305;311020.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;16;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211195821.20025146;2374616.0;1.0;17.99974227780936;88.9389363165461;88.9389363165461;1.0;6780.0;390.21205092799937;311320.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;17;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211158991.20550776;2374616.0;1.0;17.99974227780936;88.92342644263651;88.92342644263651;1.0;6780.0;374.4669304300005;310592.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;18;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211249249.33113238;2374616.0;1.0;17.99974227780936;88.96143600949895;88.96143600949895;1.0;6780.0;368.58587033899676;311120.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;19;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211031429.35422626;2374616.0;1.0;17.99974227780936;88.86970750396117;88.86970750396117;1.0;6780.0;339.8969929520026;311812.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;20;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211227438.21557194;2374616.0;1.0;17.99974227780936;88.95225089680687;88.95225089680687;1.0;6780.0;371.1399592300004;311756.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;21;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211178394.05623487;2374616.0;1.0;17.99974227780936;88.93159738510768;88.93159738510768;1.0;6780.0;402.9554665100004;311608.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_homes;13;True;homes;22;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;211207560.308074;2374616.0;1.0;17.99974227780936;88.94387989808625;88.94387989808625;1.0;6780.0;368.86522526599947;311940.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
