Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders;VaccLvl_0;VaccLvl_1;VaccLvl_2;dVaccLvl_0;dVaccLvl_1;dVaccLvl_2
19;19;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
19;19;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
19;19;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
19;19;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
19;19;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
19;19;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
19;19;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
19;19;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
19;19;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
19;19;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
20;20;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
20;20;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
20;20;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
20;20;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
20;20;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
20;20;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
20;20;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
20;20;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
20;20;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
20;20;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
20;20;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
20;20;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
20;20;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
21;21;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
21;21;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
21;21;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
21;21;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
21;21;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
21;21;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
21;21;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
21;21;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
21;21;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
21;21;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
21;21;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
21;21;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
21;21;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
22;22;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
22;22;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
22;22;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
22;22;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
22;22;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
22;22;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
22;22;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
22;22;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
22;22;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
22;22;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
22;22;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
22;22;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
22;22;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
23;23;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
23;23;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
23;23;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
23;23;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
23;23;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
23;23;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
23;23;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
23;23;0;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
23;23;0;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
23;23;0;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
23;23;0;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
23;23;0;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
23;23;0;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
24;0;1;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
24;0;1;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
24;0;1;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
24;0;1;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
24;0;1;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
24;0;1;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
24;0;1;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
24;0;1;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
24;0;1;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
24;0;1;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
24;0;1;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
24;0;1;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
24;0;1;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
25;1;1;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
25;1;1;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
25;1;1;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
25;1;1;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
25;1;1;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
25;1;1;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
25;1;1;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
25;1;1;Menino Deus;31656;31647;9;0;0;0;31602;54;0;0;0;0
25;1;1;Moinhos de Vento;11940;11937;3;0;0;0;11920;20;0;0;0;0
25;1;1;Praia de Belas;2272;2272;0;0;0;0;2269;3;0;0;0;0
25;1;1;Rio Branco;17535;17529;6;0;0;0;17505;30;0;0;0;0
25;1;1;Santa Cecília;5762;5759;3;0;0;0;5753;9;0;0;0;0
25;1;1;Santana;20725;20718;7;0;0;0;20690;35;0;0;0;0
26;2;1;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
26;2;1;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
