Frame;Hour;Vacc0;Vacc1;Vacc2;Vacc3;dI;dR;dV
469;13;126781;63708;0;0;0;0;
470;14;126781;63708;0;0;0;0;
471;15;126781;63708;0;0;0;0;
472;16;126781;63708;0;0;0;0;
473;17;126781;63708;0;0;0;0;
474;18;126781;63708;0;0;0;0;
475;19;126781;63708;0;0;0;0;
476;20;126781;63708;0;0;0;0;
477;21;126781;63708;0;0;0;0;
478;22;126781;63708;0;0;0;0;
479;23;126781;63708;0;0;0;0;
480;0;126781;63708;0;0;0;0;
481;1;126781;63708;0;0;0;0;
482;2;126781;63708;0;0;0;0;
483;3;126781;63708;0;0;0;0;
484;4;126781;63708;0;0;0;0;
485;5;126781;63708;0;0;0;0;
486;6;126781;63708;0;0;0;0;
487;7;126781;63708;0;0;0;0;
488;8;126781;63708;0;0;0;0;
489;9;126056;64329;104;0;-725;621;
490;10;125325;64948;216;0;-731;619;
491;11;125325;64948;216;0;0;0;
492;12;124590;65570;329;0;-735;622;
493;13;124590;65570;329;0;0;0;
494;14;124590;65570;329;0;0;0;
495;15;124590;65570;329;0;0;0;
496;16;124590;65570;329;0;0;0;
497;17;124590;65570;329;0;0;0;
498;18;124590;65570;329;0;0;0;
499;19;124590;65570;329;0;0;0;
500;20;124590;65570;329;0;0;0;
501;21;124590;65570;329;0;0;0;
502;22;124590;65570;329;0;0;0;
503;23;124590;65570;329;0;0;0;
504;0;124590;65570;329;0;0;0;
505;1;124590;65570;329;0;0;0;
506;2;124590;65570;329;0;0;0;
507;3;124590;65570;329;0;0;0;
508;4;124590;65570;329;0;0;0;
509;5;124590;65570;329;0;0;0;
510;6;124590;65570;329;0;0;0;
511;7;124590;65570;329;0;0;0;
512;8;124590;65570;329;0;0;0;
513;9;123718;64559;2212;0;-872;-1011;
514;10;122844;63545;4100;0;-874;-1014;
515;11;122844;63545;4100;0;0;0;
516;12;121964;62530;5995;0;-880;-1015;
517;13;121964;62530;5995;0;0;0;
518;14;121964;62530;5995;0;0;0;
519;15;121964;62530;5995;0;0;0;
520;16;121964;62530;5995;0;0;0;
521;17;121964;62530;5995;0;0;0;
522;18;121964;62530;5995;0;0;0;
523;19;121964;62530;5995;0;0;0;
524;20;121964;62530;5995;0;0;0;
525;21;121964;62530;5995;0;0;0;
526;22;121964;62530;5995;0;0;0;
527;23;121964;62530;5995;0;0;0;
528;0;121964;62530;5995;0;0;0;
529;1;121964;62530;5995;0;0;0;
530;2;121964;62530;5995;0;0;0;
531;3;121964;62530;5995;0;0;0;
532;4;121964;62530;5995;0;0;0;
533;5;121964;62530;5995;0;0;0;
534;6;121964;62530;5995;0;0;0;
535;7;121964;62530;5995;0;0;0;
536;8;121964;62530;5995;0;0;0;
537;9;119720;62427;8342;0;-2244;-103;
538;10;117468;62327;10694;0;-2252;-100;
539;11;117468;62327;10694;0;0;0;
540;12;115214;62226;13049;0;-2254;-101;
541;13;115214;62226;13049;0;0;0;
542;14;115214;62226;13049;0;0;0;
543;15;115214;62226;13049;0;0;0;
544;16;115214;62226;13049;0;0;0;
545;17;115214;62226;13049;0;0;0;
