Frame;Hour;Day;Vacc0;Vacc1;Vacc2;dVacc0;dVacc1;dVacc2
407;23;16;136154;52302;0;0;0;0
408;0;17;136154;52302;0;0;0;0
409;1;17;136154;52302;0;0;0;0
410;2;17;136154;52302;0;0;0;0
411;3;17;136154;52302;0;0;0;0
412;4;17;136154;52302;0;0;0;0
413;5;17;136154;52249;0;0;-53;0
414;6;17;136154;52249;0;0;0;0
415;7;17;136154;52195;0;0;-54;0
416;8;17;135236;53113;0;-918;918;0
417;9;17;135236;53057;0;0;-56;0
418;10;17;134314;53979;0;-922;922;0
419;11;17;134314;53920;0;0;-59;0
420;12;17;133389;54845;0;-925;925;0
421;13;17;133389;54785;0;0;-60;0
422;14;17;133389;54785;0;0;0;0
423;15;17;133389;54726;0;0;-59;0
424;16;17;133389;54726;0;0;0;0
425;17;17;133389;54665;0;0;-61;0
426;18;17;133389;54665;0;0;0;0
427;19;17;133389;54665;0;0;0;0
428;20;17;133389;54665;0;0;0;0
429;21;17;133389;54665;0;0;0;0
430;22;17;133389;54665;0;0;0;0
431;23;17;133389;54665;0;0;0;0
432;0;18;133389;54665;0;0;0;0
433;1;18;133389;54665;0;0;0;0
434;2;18;133389;54665;0;0;0;0
435;3;18;133389;54665;0;0;0;0
436;4;18;133389;54665;0;0;0;0
437;5;18;133389;54606;0;0;-59;0
438;6;18;133389;54606;0;0;0;0
439;7;18;133389;54548;0;0;-58;0
440;8;18;131191;56746;0;-2198;2198;0
441;9;18;131191;56683;0;0;-63;0
442;10;18;128988;58886;0;-2203;2203;0
443;11;18;128988;58822;0;0;-64;0
444;12;18;126781;61029;0;-2207;2207;0
445;13;18;126781;60963;0;0;-66;0
446;14;18;126781;60963;0;0;0;0
447;15;18;126781;60892;0;0;-71;0
448;16;18;126781;60892;0;0;0;0
449;17;18;126781;60819;0;0;-73;0
450;18;18;126781;60819;0;0;0;0
451;19;18;126781;60819;0;0;0;0
452;20;18;126781;60819;0;0;0;0
453;21;18;126781;60819;0;0;0;0
454;22;18;126781;60819;0;0;0;0
455;23;18;126781;60819;0;0;0;0
456;0;19;126781;60819;0;0;0;0
457;1;19;126781;60819;0;0;0;0
458;2;19;126781;60819;0;0;0;0
459;3;19;126781;60819;0;0;0;0
460;4;19;126781;60819;0;0;0;0
461;5;19;126781;60743;0;0;-76;0
462;6;19;126781;60743;0;0;0;0
463;7;19;126781;60662;0;0;-81;0
464;8;19;126781;60662;0;0;0;0
465;9;19;126781;60583;0;0;-79;0
466;10;19;126781;60583;0;0;0;0
467;11;19;126781;60503;0;0;-80;0
468;12;19;126781;60503;0;0;0;0
469;13;19;126781;60419;0;0;-84;0
470;14;19;126781;60419;0;0;0;0
471;15;19;126781;60338;0;0;-81;0
472;16;19;126781;60338;0;0;0;0
473;17;19;126781;60262;0;0;-76;0
474;18;19;126781;60262;0;0;0;0
475;19;19;126781;60262;0;0;0;0
476;20;19;126781;60262;0;0;0;0
477;21;19;126781;60262;0;0;0;0
478;22;19;126781;60262;0;0;0;0
479;23;19;126781;60262;0;0;0;0
480;0;20;126781;60262;0;0;0;0
481;1;20;126781;60262;0;0;0;0
482;2;20;126781;60262;0;0;0;0
483;3;20;126781;60262;0;0;0;0
484;4;20;126781;60262;0;0;0;0
485;5;20;126781;60184;0;0;-78;0
486;6;20;126781;60184;0;0;0;0
487;7;20;126781;60110;0;0;-74;0
488;8;20;126056;60506;329;-725;396;329
489;9;20;126056;60431;329;0;-75;0
490;10;20;125325;61162;329;-731;731;0
491;11;20;125325;61085;329;0;-77;0
492;12;20;124590;61820;329;-735;735;0
493;13;20;124590;61742;328;0;-78;-1
494;14;20;124590;61742;328;0;0;0
495;15;20;124590;61668;328;0;-74;0
496;16;20;124590;61668;328;0;0;0
497;17;20;124590;61594;328;0;-74;0
498;18;20;124590;61594;328;0;0;0
499;19;20;124590;61594;328;0;0;0
500;20;20;124590;61594;328;0;0;0
501;21;20;124590;61594;328;0;0;0
502;22;20;124590;61594;328;0;0;0
503;23;20;124590;61594;328;0;0;0
504;0;21;124590;61594;328;0;0;0
505;1;21;124590;61594;328;0;0;0
506;2;21;124590;61594;328;0;0;0
507;3;21;124590;61594;328;0;0;0
508;4;21;124590;61594;328;0;0;0
509;5;21;124590;61521;328;0;-73;0
510;6;21;124590;61521;328;0;0;0
511;7;21;124590;61449;327;0;-72;-1
512;8;21;123718;57248;5400;-872;-4201;5073
513;9;21;123718;57239;5282;0;-9;-118
