scenario;seed;group;reason;packets;requested;fulfilled;unmet
94_levy_v2_flood_destinations;4;student;fulfilled;518257.0;15295899.0;15295899.0;0.0
94_levy_v2_flood_destinations;4;student;insufficient_population;514.0;24325.0;23510.0;815.0
94_levy_v2_flood_destinations;4;worker;anticipated_destination_disable;6436.0;78697.0;0.0;78697.0
94_levy_v2_flood_destinations;4;worker;destination_disabled;210256.0;2244763.0;0.0;2244763.0
94_levy_v2_flood_destinations;4;worker;fulfilled;3419216.0;38378268.0;38378268.0;0.0
94_levy_v2_flood_destinations;4;worker;insufficient_population;4.0;24.0;20.0;4.0
94_levy_v2_flood_homes;0;student;fulfilled;503465.0;14992204.0;14992204.0;0.0
94_levy_v2_flood_homes;0;student;insufficient_population;15042.0;394356.0;156032.0;238324.0
94_levy_v2_flood_homes;0;student;origin_disabled;31021.0;823984.0;0.0;823984.0
94_levy_v2_flood_homes;0;worker;fulfilled;3351364.0;37807734.0;37807734.0;0.0
94_levy_v2_flood_homes;0;worker;insufficient_population;80265.0;813043.0;69122.0;743921.0
94_levy_v2_flood_homes;0;worker;origin_disabled;204451.0;2081647.0;0.0;2081647.0
94_levy_v2_flood_homes;1;student;fulfilled;503697.0;14987898.0;14987898.0;0.0
94_levy_v2_flood_homes;1;student;insufficient_population;15224.0;397160.0;160785.0;236375.0
94_levy_v2_flood_homes;1;student;origin_disabled;31111.0;824310.0;0.0;824310.0
94_levy_v2_flood_homes;1;worker;fulfilled;3350513.0;37791319.0;37791319.0;0.0
94_levy_v2_flood_homes;1;worker;insufficient_population;81254.0;829463.0;68609.0;760854.0
94_levy_v2_flood_homes;1;worker;origin_disabled;204537.0;2081586.0;0.0;2081586.0
94_levy_v2_flood_homes;2;student;fulfilled;503163.0;14996596.0;14996596.0;0.0
94_levy_v2_flood_homes;2;student;insufficient_population;15120.0;389351.0;150173.0;239178.0
94_levy_v2_flood_homes;2;student;origin_disabled;31021.0;824037.0;0.0;824037.0
94_levy_v2_flood_homes;2;worker;fulfilled;3351245.0;37802300.0;37802300.0;0.0
94_levy_v2_flood_homes;2;worker;insufficient_population;79577.0;817779.0;67415.0;750364.0
94_levy_v2_flood_homes;2;worker;origin_disabled;204530.0;2082233.0;0.0;2082233.0
94_levy_v2_flood_homes;3;student;fulfilled;503989.0;14995290.0;14995290.0;0.0
94_levy_v2_flood_homes;3;student;insufficient_population;14837.0;388920.0;155726.0;233194.0
94_levy_v2_flood_homes;3;student;origin_disabled;31094.0;823982.0;0.0;823982.0
94_levy_v2_flood_homes;3;worker;fulfilled;3350279.0;37795516.0;37795516.0;0.0
94_levy_v2_flood_homes;3;worker;insufficient_population;81220.0;828158.0;72608.0;755550.0
94_levy_v2_flood_homes;3;worker;origin_disabled;204693.0;2082390.0;0.0;2082390.0
94_levy_v2_flood_homes;4;student;fulfilled;503952.0;14989581.0;14989581.0;0.0
94_levy_v2_flood_homes;4;student;insufficient_population;15312.0;395544.0;155867.0;239677.0
94_levy_v2_flood_homes;4;student;origin_disabled;31048.0;824411.0;0.0;824411.0
94_levy_v2_flood_homes;4;worker;fulfilled;3351485.0;37811911.0;37811911.0;0.0
94_levy_v2_flood_homes;4;worker;insufficient_population;79938.0;807761.0;71554.0;736207.0
94_levy_v2_flood_homes;4;worker;origin_disabled;204489.0;2082080.0;0.0;2082080.0
94_levy_v2_flood_all;0;student;anticipated_destination_disable;432.0;12617.0;0.0;12617.0
94_levy_v2_flood_all;0;student;destination_disabled;18443.0;532138.0;0.0;532138.0
94_levy_v2_flood_all;0;student;fulfilled;489105.0;14573509.0;14573509.0;0.0
94_levy_v2_flood_all;0;student;insufficient_population;10527.0;268296.0;115422.0;152874.0
94_levy_v2_flood_all;0;student;origin_disabled;31021.0;823984.0;0.0;823984.0
