Frame;Hour;Node;Total;Locals;Outsiders;
25;1;Rio Branco//marketplace;150;0;150;
25;1;Rio Branco//pharmacy;340;0;340;
25;1;Rio Branco//gas_station;150;30;120;
25;1;Rio Branco//hospital;620;0;620;
25;1;Santa Cecília//home;1330;590;740;
25;1;Santa Cecília//work;1020;690;330;
25;1;Santa Cecília//school;290;240;50;
25;1;Santa Cecília//marketplace;260;120;140;
25;1;Santa Cecília//pharmacy;90;40;50;
25;1;Santa Cecília//gas_station;590;290;300;
25;1;Santa Cecília//hospital;448;98;350;
25;1;Santana//home;813;743;70;
25;1;Santana//work;5730;5250;480;
25;1;Santana//school;200;40;160;
25;1;Santana//marketplace;390;130;260;
25;1;Santana//pharmacy;870;750;120;
25;1;Santana//gas_station;1990;1870;120;
25;1;Santana//hospital;580;260;320;
26;2;Azenha//home;1754;1374;380;
26;2;Azenha//work;1320;680;640;
26;2;Azenha//school;220;0;220;
26;2;Azenha//marketplace;480;140;340;
26;2;Azenha//pharmacy;160;20;140;
26;2;Azenha//gas_station;2810;2170;640;
26;2;Azenha//hospital;130;0;130;
26;2;Azenha//shopping_mall;1030;940;90;
26;2;Bom Fim//home;11563;11313;250;
26;2;Bom Fim//work;310;0;310;
26;2;Bom Fim//school;430;180;250;
26;2;Bom Fim//marketplace;330;30;300;
26;2;Bom Fim//pharmacy;80;0;80;
26;2;Bom Fim//gas_station;1660;70;1590;
26;2;Centro//home;39094;38954;140;
26;2;Centro//work;180;0;180;
26;2;Centro//school;240;10;230;
26;2;Centro//marketplace;80;0;80;
26;2;Centro//pharmacy;1660;130;1530;
26;2;Centro//gas_station;180;0;180;
26;2;Centro//hospital;260;0;260;
26;2;Centro//shopping_mall;250;40;210;
26;2;Cidade Baixa//home;15449;15319;130;
26;2;Cidade Baixa//work;270;20;250;
26;2;Cidade Baixa//school;200;0;200;
26;2;Cidade Baixa//marketplace;120;0;120;
26;2;Cidade Baixa//pharmacy;100;0;100;
26;2;Cidade Baixa//gas_station;240;30;210;
26;2;Farroupilha//home;401;101;300;
26;2;Farroupilha//work;160;0;160;
26;2;Farroupilha//school;310;10;300;
26;2;Farroupilha//marketplace;600;30;570;
26;2;Farroupilha//pharmacy;340;60;280;
26;2;Farroupilha//gas_station;200;0;200;
26;2;Farroupilha//hospital;200;0;200;
26;2;Floresta//home;1397;96;1301;
26;2;Floresta//work;2170;1770;400;
26;2;Floresta//school;5360;1200;4160;
26;2;Floresta//marketplace;8440;440;8000;
26;2;Floresta//pharmacy;710;440;270;
26;2;Floresta//gas_station;690;570;120;
26;2;Independência//home;1132;902;230;
26;2;Independência//work;230;20;210;
26;2;Independência//school;780;240;540;
26;2;Independência//marketplace;250;0;250;
26;2;Independência//pharmacy;290;10;280;
26;2;Independência//gas_station;190;110;80;
26;2;Independência//hospital;270;0;270;
26;2;Independência//shopping_mall;360;70;290;
26;2;Menino Deus//home;30860;30440;420;
26;2;Menino Deus//work;900;30;870;
26;2;Menino Deus//school;260;60;200;
26;2;Menino Deus//marketplace;530;30;500;
26;2;Menino Deus//pharmacy;630;20;610;
26;2;Menino Deus//gas_station;170;0;170;
26;2;Menino Deus//hospital;440;20;420;
26;2;Moinhos de Vento//home;12137;11717;420;
26;2;Moinhos de Vento//work;640;0;640;
26;2;Moinhos de Vento//school;560;70;490;
26;2;Moinhos de Vento//marketplace;190;40;150;
26;2;Moinhos de Vento//pharmacy;390;20;370;
26;2;Moinhos de Vento//gas_station;180;0;180;
26;2;Moinhos de Vento//hospital;430;60;370;
26;2;Moinhos de Vento//shopping_mall;290;30;260;
26;2;Praia de Belas//home;8230;0;8230;
26;2;Praia de Belas//work;250;50;200;
26;2;Praia de Belas//school;280;80;200;
26;2;Praia de Belas//marketplace;360;60;300;
26;2;Praia de Belas//pharmacy;140;20;120;
26;2;Praia de Belas//gas_station;900;470;430;
26;2;Praia de Belas//stadium;540;80;460;
26;2;Praia de Belas//shopping_mall;3260;0;3260;
26;2;Rio Branco//home;1421;881;540;
26;2;Rio Branco//work;300;0;300;
26;2;Rio Branco//school;640;460;180;
26;2;Rio Branco//marketplace;740;500;240;
26;2;Rio Branco//pharmacy;570;200;370;
26;2;Rio Branco//gas_station;670;480;190;
26;2;Rio Branco//hospital;4040;3410;630;
26;2;Santa Cecília//home;1620;590;1030;
26;2;Santa Cecília//work;1850;700;1150;
26;2;Santa Cecília//school;580;240;340;
26;2;Santa Cecília//marketplace;400;120;280;
26;2;Santa Cecília//pharmacy;750;40;710;
26;2;Santa Cecília//gas_station;710;300;410;
26;2;Santa Cecília//hospital;608;108;500;
26;2;Santana//home;2533;2433;100;
26;2;Santana//work;650;0;650;
26;2;Santana//school;380;170;210;
26;2;Santana//marketplace;570;210;360;
26;2;Santana//pharmacy;210;20;190;
26;2;Santana//gas_station;2660;1900;760;
26;2;Santana//hospital;940;370;570;
27;3;Azenha//home;1784;1384;400;
27;3;Azenha//work;1540;680;860;
27;3;Azenha//school;370;70;300;
27;3;Azenha//marketplace;440;20;420;
27;3;Azenha//pharmacy;260;40;220;
27;3;Azenha//gas_station;2950;2200;750;
27;3;Azenha//hospital;430;230;200;
27;3;Azenha//shopping_mall;170;0;170;
27;3;Bom Fim//home;11573;11313;260;
27;3;Bom Fim//work;430;0;430;
27;3;Bom Fim//school;450;180;270;
27;3;Bom Fim//marketplace;410;30;380;
27;3;Bom Fim//pharmacy;90;0;90;
27;3;Bom Fim//gas_station;1730;70;1660;
27;3;Centro//home;39374;38964;410;
27;3;Centro//work;260;0;260;
27;3;Centro//school;460;0;460;
27;3;Centro//marketplace;140;0;140;
27;3;Centro//pharmacy;680;130;550;
27;3;Centro//gas_station;260;0;260;
27;3;Centro//hospital;550;0;550;
27;3;Centro//shopping_mall;360;0;360;
27;3;Cidade Baixa//home;3019;2859;160;
27;3;Cidade Baixa//work;850;480;370;
27;3;Cidade Baixa//school;800;530;270;
27;3;Cidade Baixa//marketplace;1050;850;200;
27;3;Cidade Baixa//pharmacy;300;180;120;
27;3;Cidade Baixa//gas_station;1360;1070;290;
27;3;Farroupilha//home;521;101;420;
27;3;Farroupilha//work;440;0;440;
27;3;Farroupilha//school;670;10;660;
27;3;Farroupilha//marketplace;756;30;726;
27;3;Farroupilha//pharmacy;460;60;400;
27;3;Farroupilha//gas_station;260;0;260;
27;3;Farroupilha//hospital;560;0;560;
27;3;Floresta//home;1401;0;1401;
27;3;Floresta//work;2190;1770;420;
27;3;Floresta//school;5920;1250;4670;
27;3;Floresta//marketplace;9520;450;9070;
27;3;Floresta//pharmacy;780;450;330;
27;3;Floresta//gas_station;790;570;220;
27;3;Independência//home;1252;902;350;
27;3;Independência//work;350;20;330;
27;3;Independência//school;830;240;590;
27;3;Independência//marketplace;310;0;310;
27;3;Independência//pharmacy;520;10;510;
27;3;Independência//gas_station;220;110;110;
27;3;Independência//hospital;290;0;290;
27;3;Independência//shopping_mall;360;70;290;
27;3;Menino Deus//home;30960;30440;520;
27;3;Menino Deus//work;990;30;960;
27;3;Menino Deus//school;250;60;190;
27;3;Menino Deus//marketplace;600;30;570;
27;3;Menino Deus//pharmacy;930;20;910;
27;3;Menino Deus//gas_station;170;0;170;
27;3;Menino Deus//hospital;450;20;430;
27;3;Moinhos de Vento//home;12087;11717;370;
27;3;Moinhos de Vento//work;720;0;720;
27;3;Moinhos de Vento//school;600;0;600;
27;3;Moinhos de Vento//marketplace;270;50;220;
27;3;Moinhos de Vento//pharmacy;4840;30;4810;
27;3;Moinhos de Vento//gas_station;250;10;240;
27;3;Moinhos de Vento//hospital;430;60;370;
27;3;Moinhos de Vento//shopping_mall;310;0;310;
27;3;Praia de Belas//home;10230;80;10150;
27;3;Praia de Belas//work;360;10;350;
27;3;Praia de Belas//school;530;150;380;
27;3;Praia de Belas//marketplace;910;80;830;
27;3;Praia de Belas//pharmacy;480;0;480;
27;3;Praia de Belas//gas_station;500;0;500;
27;3;Praia de Belas//stadium;650;90;560;
27;3;Praia de Belas//shopping_mall;3320;20;3300;
27;3;Rio Branco//home;1490;680;810;
27;3;Rio Branco//work;520;180;340;
27;3;Rio Branco//school;810;600;210;
27;3;Rio Branco//marketplace;260;20;240;
27;3;Rio Branco//pharmacy;950;500;450;
27;3;Rio Branco//gas_station;240;10;230;
27;3;Rio Branco//hospital;740;0;740;
27;3;Santa Cecília//home;980;610;370;
27;3;Santa Cecília//work;2581;700;1881;
27;3;Santa Cecília//school;740;250;490;
27;3;Santa Cecília//marketplace;310;0;310;
27;3;Santa Cecília//pharmacy;1180;430;750;
27;3;Santa Cecília//gas_station;810;300;510;
27;3;Santa Cecília//hospital;688;118;570;
27;3;Santana//home;493;283;210;
27;3;Santana//work;890;160;730;
27;3;Santana//school;390;190;200;
27;3;Santana//marketplace;490;0;490;
27;3;Santana//pharmacy;420;180;240;
27;3;Santana//gas_station;3120;2130;990;
27;3;Santana//hospital;1060;400;660;
28;4;Azenha//home;1894;1464;430;
28;4;Azenha//work;1390;730;660;
28;4;Azenha//school;790;440;350;
28;4;Azenha//marketplace;540;30;510;
28;4;Azenha//pharmacy;310;80;230;
28;4;Azenha//gas_station;840;0;840;
28;4;Azenha//hospital;240;0;240;
28;4;Azenha//shopping_mall;270;60;210;
