;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
2048;0;Cidade Baixa;Santa Tereza;242;0;0;0;242;0
2049;0;Cidade Baixa;Santana;2491;0;1283;710;0;2491
2050;0;Cidade Baixa;Santo Antônio;250;0;0;0;250;0
2051;0;Cidade Baixa;Sarandi;0;0;0;0;0;0
2052;0;Cidade Baixa;Serraria;0;0;0;0;0;0
2053;0;Cidade Baixa;São Caetano;0;0;0;0;0;0
2054;0;Cidade Baixa;São Geraldo;250;250;0;0;250;0
2055;0;Cidade Baixa;São José;0;0;0;0;0;0
2056;0;Cidade Baixa;São João;0;0;0;0;0;0
2057;0;Cidade Baixa;São Sebastião;0;0;0;0;0;0
2058;0;Cidade Baixa;Sétimo Céu;0;0;0;0;0;0
2059;0;Cidade Baixa;Teresópolis;0;0;0;0;0;0
2060;0;Cidade Baixa;Tristeza;210;0;120;54;0;210
2061;0;Cidade Baixa;Três Figueiras;250;0;143;78;0;250
2062;0;Cidade Baixa;Vila Assunção;0;0;0;0;0;0
2063;0;Cidade Baixa;Vila Conceição;0;0;0;0;0;0
2064;0;Cidade Baixa;Vila Ipiranga;0;0;0;0;0;0
2065;0;Cidade Baixa;Vila Jardim;0;0;0;0;0;0
2066;0;Cidade Baixa;Vila João Pessoa;250;250;0;0;250;0
2067;0;Cidade Baixa;Vila Nova;0;0;0;0;0;0
2068;0;Costa e Silva;Aberta dos Morros;0;0;0;0;0;0
2069;0;Costa e Silva;Agronomia;0;0;0;0;0;0
2070;0;Costa e Silva;Anchieta;0;0;0;0;0;0
2071;0;Costa e Silva;Arquipélago;0;0;0;0;0;0
2072;0;Costa e Silva;Auxiliadora;0;0;0;0;0;0
2073;0;Costa e Silva;Azenha;0;0;0;0;0;0
2074;0;Costa e Silva;Bela Vista;0;0;0;0;0;0
2075;0;Costa e Silva;Belém Novo;0;0;0;0;0;0
2076;0;Costa e Silva;Belém Velho;0;0;0;0;0;0
2077;0;Costa e Silva;Boa Vista;0;0;0;0;0;0
2078;0;Costa e Silva;Boa Vista do Sul;0;0;0;0;0;0
2079;0;Costa e Silva;Bom Fim;0;0;0;0;0;0
2080;0;Costa e Silva;Bom Jesus;0;0;0;0;0;0
2081;0;Costa e Silva;Camaquã;0;0;0;0;0;0
2082;0;Costa e Silva;Campo Novo;0;0;0;0;0;0
2083;0;Costa e Silva;Cascata;500;250;187;37;250;250
2084;0;Costa e Silva;Cavalhada;0;0;0;0;0;0
2085;0;Costa e Silva;Cel. Aparício Borges;250;0;171;34;0;250
2086;0;Costa e Silva;Centro Histórico;250;0;0;0;250;0
2087;0;Costa e Silva;Chapéu do Sol;0;0;0;0;0;0
2088;0;Costa e Silva;Chácara das Pedras;250;0;149;30;0;250
2089;0;Costa e Silva;Cidade Baixa;0;0;0;0;0;0
2090;0;Costa e Silva;Costa e Silva;2928;1494;607;135;1973;955
2091;0;Costa e Silva;Cristal;0;0;0;0;0;0
2092;0;Costa e Silva;Cristo Redentor;162;0;85;29;0;162
2093;0;Costa e Silva;Espírito Santo;0;0;0;0;0;0
2094;0;Costa e Silva;Extrema;0;0;0;0;0;0
2095;0;Costa e Silva;Farrapos;5984;1991;2344;603;1157;3371
2096;0;Costa e Silva;Farroupilha;0;0;0;0;0;0
2097;0;Costa e Silva;Floresta;0;0;0;0;0;0
2098;0;Costa e Silva;Glória;0;0;0;0;0;0
2099;0;Costa e Silva;Guarujá;0;0;0;0;0;0
2100;0;Costa e Silva;Higienópolis;0;0;0;0;0;0
2101;0;Costa e Silva;Humaitá;231;0;0;0;231;0
2102;0;Costa e Silva;Hípica;0;0;0;0;0;0
2103;0;Costa e Silva;Independência;0;0;0;0;0;0
2104;0;Costa e Silva;Ipanema;0;0;0;0;0;0
