;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
463;Auxiliadora;Três Figueiras;0;0;0;0;0;0
464;Auxiliadora;Vila Assunção;249;0;0;0;249;0
465;Auxiliadora;Vila Conceição;0;0;0;0;0;0
466;Auxiliadora;Vila Ipiranga;165;0;105;45;0;165
467;Auxiliadora;Vila Jardim;0;0;0;0;0;0
468;Auxiliadora;Vila João Pessoa;250;0;139;89;0;250
469;Auxiliadora;Vila Nova;0;0;0;0;0;0
470;Azenha;Aberta dos Morros;373;0;233;55;0;373
471;Azenha;Agronomia;0;0;0;0;0;0
472;Azenha;Anchieta;0;0;0;0;0;0
473;Azenha;Arquipélago;0;0;0;0;0;0
474;Azenha;Auxiliadora;250;0;129;68;0;250
475;Azenha;Azenha;412;0;233;64;0;412
