code,table_group,scenario,experiment,repetition,status,detail,runtime_seconds,runtime_seconds_per_cycle,peak_working_set_mib,max_blob_count,commit_sha
A06,adaptation,stage4_94_levy_on_flood_pois,popular_times_v2/production/94_levy_on_flood_pois,0,complete,all controlled performance artifacts are complete,2876.877242000017,51.372807892857445,936.203125,12301,48b2e244f7329c368e46d286002bbc4de7bd81a3
A06,adaptation,stage4_94_levy_on_flood_pois,popular_times_v2/production/94_levy_on_flood_pois,1,complete,all controlled performance artifacts are complete,2866.959074100014,51.195697751785964,937.21484375,12321,48b2e244f7329c368e46d286002bbc4de7bd81a3
A06,adaptation,stage4_94_levy_on_flood_pois,popular_times_v2/production/94_levy_on_flood_pois,2,complete,all controlled performance artifacts are complete,2862.46378250001,51.11542468750018,938.0625,12328,48b2e244f7329c368e46d286002bbc4de7bd81a3
A06,adaptation,stage4_94_levy_on_flood_pois,popular_times_v2/production/94_levy_on_flood_pois,3,complete,all controlled performance artifacts are complete,3234.9504651000025,57.76697259107147,936.2421875,12307,48b2e244f7329c368e46d286002bbc4de7bd81a3
A06,adaptation,stage4_94_levy_on_flood_pois,popular_times_v2/production/94_levy_on_flood_pois,4,complete,all controlled performance artifacts are complete,3117.5036757999915,55.66970849642842,911.82421875,12326,48b2e244f7329c368e46d286002bbc4de7bd81a3
A07,adaptation,stage4_94_levy_on_flood_homes,popular_times_v2/production/94_levy_on_flood_homes,0,complete,all controlled performance artifacts are complete,4594.113262699975,82.03773683392812,2250.5625,12591,48b2e244f7329c368e46d286002bbc4de7bd81a3
A07,adaptation,stage4_94_levy_on_flood_homes,popular_times_v2/production/94_levy_on_flood_homes,1,complete,all controlled performance artifacts are complete,5205.061446299951,92.94752582678484,2132.234375,12548,48b2e244f7329c368e46d286002bbc4de7bd81a3
A07,adaptation,stage4_94_levy_on_flood_homes,popular_times_v2/production/94_levy_on_flood_homes,2,complete,all controlled performance artifacts are complete,5211.73449469998,93.06668740535679,2144.4765625,12613,48b2e244f7329c368e46d286002bbc4de7bd81a3
A07,adaptation,stage4_94_levy_on_flood_homes,popular_times_v2/production/94_levy_on_flood_homes,3,complete,all controlled performance artifacts are complete,5208.883524400007,93.0157772214287,2140.72265625,12589,48b2e244f7329c368e46d286002bbc4de7bd81a3
A07,adaptation,stage4_94_levy_on_flood_homes,popular_times_v2/production/94_levy_on_flood_homes,4,complete,all controlled performance artifacts are complete,5224.435274299991,93.29348704107126,2148.69921875,12612,48b2e244f7329c368e46d286002bbc4de7bd81a3
A08,adaptation,stage4_94_levy_on_flood_both,popular_times_v2/production/94_levy_on_flood_both,0,complete,all controlled performance artifacts are complete,3358.265826900024,59.969032623214716,1203.3984375,12322,48b2e244f7329c368e46d286002bbc4de7bd81a3
A08,adaptation,stage4_94_levy_on_flood_both,popular_times_v2/production/94_levy_on_flood_both,1,complete,all controlled performance artifacts are complete,3336.067463900021,59.572633283928944,1351.00390625,12342,48b2e244f7329c368e46d286002bbc4de7bd81a3
A08,adaptation,stage4_94_levy_on_flood_both,popular_times_v2/production/94_levy_on_flood_both,2,complete,all controlled performance artifacts are complete,3350.895606199978,59.83742153928532,1393.2265625,12350,48b2e244f7329c368e46d286002bbc4de7bd81a3
A08,adaptation,stage4_94_levy_on_flood_both,popular_times_v2/production/94_levy_on_flood_both,3,complete,all controlled performance artifacts are complete,3347.0383506999933,59.76854197678559,1394.9453125,12335,48b2e244f7329c368e46d286002bbc4de7bd81a3
A08,adaptation,stage4_94_levy_on_flood_both,popular_times_v2/production/94_levy_on_flood_both,4,complete,all controlled performance artifacts are complete,3343.779041600006,59.71034002857154,1394.9921875,12342,48b2e244f7329c368e46d286002bbc4de7bd81a3
A09,adaptation,stage5_94_levy_off_flood_both_reroute,popular_times_v2/stage5/94_levy_off_flood_both_reroute,0,complete,all controlled performance artifacts are complete,2385.7330794999725,42.60237641964237,1369.43359375,10873,48b2e244f7329c368e46d286002bbc4de7bd81a3
A09,adaptation,stage5_94_levy_off_flood_both_reroute,popular_times_v2/stage5/94_levy_off_flood_both_reroute,1,complete,all controlled performance artifacts are complete,2365.150773399975,42.23483523928527,1366.375,10873,48b2e244f7329c368e46d286002bbc4de7bd81a3
A09,adaptation,stage5_94_levy_off_flood_both_reroute,popular_times_v2/stage5/94_levy_off_flood_both_reroute,2,complete,all controlled performance artifacts are complete,2371.2375787000055,42.34352819107153,1366.578125,10873,48b2e244f7329c368e46d286002bbc4de7bd81a3
A09,adaptation,stage5_94_levy_off_flood_both_reroute,popular_times_v2/stage5/94_levy_off_flood_both_reroute,3,complete,all controlled performance artifacts are complete,2370.8338399999775,42.33631857142817,1367.12890625,10873,48b2e244f7329c368e46d286002bbc4de7bd81a3
