;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
292;Arquipélago;Boa Vista do Sul;100;0;50;20;0;100
293;Arquipélago;Bom Fim;150;0;78;23;0;150
294;Arquipélago;Bom Jesus;50;0;29;7;0;50
295;Arquipélago;Camaquã;50;0;30;8;0;50
296;Arquipélago;Campo Novo;50;0;22;10;0;50
297;Arquipélago;Cascata;0;0;0;0;0;0
298;Arquipélago;Cavalhada;50;0;30;5;0;50
299;Arquipélago;Cel. Aparício Borges;0;0;0;0;0;0
300;Arquipélago;Centro Histórico;300;0;147;50;0;300
301;Arquipélago;Chapéu do Sol;50;0;29;8;0;50
302;Arquipélago;Chácara das Pedras;0;0;0;0;0;0
303;Arquipélago;Cidade Baixa;250;0;142;35;0;250
304;Arquipélago;Costa e Silva;0;0;0;0;0;0
305;Arquipélago;Cristal;0;0;0;0;0;0
306;Arquipélago;Cristo Redentor;0;0;0;0;0;0
307;Arquipélago;Espírito Santo;100;0;47;16;0;100
308;Arquipélago;Extrema;0;0;0;0;0;0
309;Arquipélago;Farrapos;50;0;27;12;0;50
310;Arquipélago;Farroupilha;150;0;71;29;0;150
311;Arquipélago;Floresta;50;0;29;10;0;50
312;Arquipélago;Glória;0;0;0;0;0;0
313;Arquipélago;Guarujá;50;0;17;11;0;50
314;Arquipélago;Higienópolis;100;0;57;21;0;100
315;Arquipélago;Humaitá;0;0;0;0;0;0
316;Arquipélago;Hípica;50;0;30;8;0;50
317;Arquipélago;Independência;150;0;73;26;0;150
318;Arquipélago;Ipanema;50;0;25;8;0;50
319;Arquipélago;Jardim Botânico;100;0;62;19;0;100
320;Arquipélago;Jardim Carvalho;200;0;113;43;0;200
321;Arquipélago;Jardim Europa;50;0;37;8;0;50
322;Arquipélago;Jardim Floresta;0;0;0;0;0;0
323;Arquipélago;Jardim Isabel;50;0;32;8;0;50
324;Arquipélago;Jardim Itú;50;0;31;4;0;50
325;Arquipélago;Jardim Leopoldina;0;0;0;0;0;0
326;Arquipélago;Jardim Lindóia;0;0;0;0;0;0
327;Arquipélago;Jardim Sabará;100;0;55;15;0;100
328;Arquipélago;Jardim São Pedro;50;0;26;5;0;50
329;Arquipélago;Jardim do Salso;0;0;0;0;0;0
330;Arquipélago;Lageado;0;0;0;0;0;0
331;Arquipélago;Lami;0;0;0;0;0;0
332;Arquipélago;Lomba do Pinheiro;200;0;112;25;0;200
333;Arquipélago;Medianeira;100;0;59;16;0;100
334;Arquipélago;Menino Deus;300;0;164;54;0;300
335;Arquipélago;Moinhos de Vento;50;0;21;19;0;50
336;Arquipélago;Mont'Serrat;0;0;0;0;0;0
337;Arquipélago;Morro Santana;0;0;0;0;0;0
338;Arquipélago;Mário Quintana;100;0;50;16;0;100
339;Arquipélago;Navegantes;150;0;84;21;0;150
