"node_name","lat","long","water_level"
"Auxiliadora//restaurant_20",-30.021363317806294,-51.195344203832576,""
"Auxiliadora//pharmacy_20",-30.022609014299626,-51.193361025693335,""
"Azenha//home_0",-30.043315003666827,-51.217724207709516,"7.6"
"Azenha//work_0",-30.043325383484024,-51.217889919436224,"7.6"
"Azenha//school_0",-30.04285055633106,-51.21767404625153,"8.0"
"Azenha//home_1",-30.0432358144583,-51.21918209970317,"7.1"
"Azenha//work_1",-30.043318447433926,-51.2192613720053,"5.7"
"Azenha//school_1",-30.042551668303794,-51.21867758165333,"8.0"
"Azenha//home_2",-30.041951926158248,-51.2167783348322,"8.0"
"Azenha//work_2",-30.042383567901798,-51.215669301646635,"7.9"
"Azenha//school_2",-30.042397182237337,-51.21608980763082,"7.9"
"Azenha//home_3",-30.042096950670476,-51.215896362562425,"8.2"
"Azenha//work_3",-30.04204724005362,-51.21591768351771,"8.2"
"Azenha//school_3",-30.041294621519835,-51.216402138223465,"7.2"
"Azenha//home_4",-30.04701027232023,-51.21834686808609,"4.0"
"Azenha//work_4",-30.046929522651887,-51.21781802561733,"4.3"
"Azenha//school_4",-30.044550412133656,-51.21950349735121,"4.9"
"Azenha//home_5",-30.04445121568225,-51.21837379882278,"5.9"
"Azenha//work_5",-30.04331281653708,-51.21707300358651,"6.9"
"Azenha//school_5",-30.044696426581652,-51.217463847720886,"6.8"
"Azenha//home_6",-30.04416317459327,-51.21598430399609,"6.9"
"Azenha//work_6",-30.043593969444373,-51.216185179036025,"7.7"
"Azenha//school_6",-30.043492351335704,-51.21573305976303,"7.7"
"Azenha//home_7",-30.04425353914112,-51.21540666566807,"6.9"
"Azenha//work_7",-30.046282988333644,-51.2140493616544,"4.4"
"Azenha//school_7",-30.046015393032427,-51.21406761042976,"5.8"
"Azenha//home_8",-30.046331715243124,-51.214672417566184,"5.1"
"Azenha//work_8",-30.045666662244038,-51.215068214217816,"5.8"
"Azenha//school_8",-30.046431378002048,-51.21459302704157,"4.4"
