;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
280;Anchieta;Vila João Pessoa;34;0;21;6;0;34
281;Anchieta;Vila Nova;276;0;133;44;50;226
282;Arquipélago;Aberta dos Morros;0;0;0;0;0;0
283;Arquipélago;Agronomia;0;0;0;0;0;0
284;Arquipélago;Anchieta;0;0;0;0;0;0
285;Arquipélago;Arquipélago;76;0;51;9;0;76
286;Arquipélago;Auxiliadora;206;100;59;17;100;106
287;Arquipélago;Azenha;339;100;99;35;150;189
288;Arquipélago;Bela Vista;161;50;44;9;100;61
289;Arquipélago;Belém Novo;100;0;51;28;0;100
290;Arquipélago;Belém Velho;102;50;37;9;50;52
291;Arquipélago;Boa Vista;7;0;6;1;0;7
292;Arquipélago;Boa Vista do Sul;50;0;0;0;50;0
293;Arquipélago;Bom Fim;350;100;111;19;150;200
294;Arquipélago;Bom Jesus;30;0;21;3;0;30
295;Arquipélago;Camaquã;55;0;4;0;50;5
296;Arquipélago;Campo Novo;0;0;0;0;0;0
297;Arquipélago;Cascata;76;0;17;4;50;26
298;Arquipélago;Cavalhada;122;50;16;5;100;22
299;Arquipélago;Cel. Aparício Borges;73;0;17;1;50;23
300;Arquipélago;Centro Histórico;1162;100;620;164;100;1062
301;Arquipélago;Chapéu do Sol;0;0;0;0;0;0
302;Arquipélago;Chácara das Pedras;0;0;0;0;0;0
303;Arquipélago;Cidade Baixa;257;100;60;24;150;107
304;Arquipélago;Costa e Silva;42;0;23;8;0;42
305;Arquipélago;Cristal;71;50;11;5;50;21
306;Arquipélago;Cristo Redentor;119;50;33;28;50;69
307;Arquipélago;Espírito Santo;50;0;29;9;0;50
308;Arquipélago;Extrema;100;0;49;25;0;100
309;Arquipélago;Farrapos;2124;0;1172;427;50;2074
310;Arquipélago;Farroupilha;550;200;183;52;250;300
311;Arquipélago;Floresta;26;0;13;5;0;26
312;Arquipélago;Glória;66;0;11;0;50;16
313;Arquipélago;Guarujá;0;0;0;0;0;0
314;Arquipélago;Higienópolis;57;50;4;3;50;7
315;Arquipélago;Humaitá;26;0;14;4;0;26
316;Arquipélago;Hípica;76;0;39;11;0;76
317;Arquipélago;Independência;100;0;54;15;0;100
318;Arquipélago;Ipanema;40;0;20;8;0;40
319;Arquipélago;Jardim Botânico;79;0;42;13;0;79
320;Arquipélago;Jardim Carvalho;106;0;5;0;100;6
321;Arquipélago;Jardim Europa;0;0;0;0;0;0
322;Arquipélago;Jardim Floresta;100;50;22;14;50;50
323;Arquipélago;Jardim Isabel;0;0;0;0;0;0
324;Arquipélago;Jardim Itú;23;0;16;3;0;23
325;Arquipélago;Jardim Leopoldina;115;100;10;4;100;15
326;Arquipélago;Jardim Lindóia;100;50;0;0;100;0
327;Arquipélago;Jardim Sabará;154;100;3;0;150;4
328;Arquipélago;Jardim São Pedro;13;0;7;6;0;13
329;Arquipélago;Jardim do Salso;0;0;0;0;0;0
330;Arquipélago;Lageado;50;50;0;0;50;0
331;Arquipélago;Lami;0;0;0;0;0;0
332;Arquipélago;Lomba do Pinheiro;341;0;177;33;50;291
333;Arquipélago;Medianeira;0;0;0;0;0;0
334;Arquipélago;Menino Deus;352;50;141;63;100;252
335;Arquipélago;Moinhos de Vento;176;0;95;33;0;176
336;Arquipélago;Mont'Serrat;3;0;2;1;0;3
337;Arquipélago;Morro Santana;67;0;14;2;50;17
338;Arquipélago;Mário Quintana;165;0;59;15;50;115
339;Arquipélago;Navegantes;26;0;8;10;0;26
340;Arquipélago;Nonoai;190;0;111;41;0;190
341;Arquipélago;Parque Santa Fé;100;0;55;16;0;100
342;Arquipélago;Partenon;264;50;65;24;150;114
343;Arquipélago;Passo D'Areia;98;0;19;14;50;48
344;Arquipélago;Passo das Pedras;16;0;9;4;0;16
345;Arquipélago;Pedra Redonda;50;0;0;0;50;0
346;Arquipélago;Petrópolis;393;50;143;42;150;243
347;Arquipélago;Pitinga;0;0;0;0;0;0
348;Arquipélago;Ponta Grossa;50;0;34;11;0;50
349;Arquipélago;Praia de Belas;1150;300;314;61;650;500
